year,city,country,avg_temp
1820,Ulaanbaatar,Mongolia,-5.52
1821,Ulaanbaatar,Mongolia,-3.52
1822,Ulaanbaatar,Mongolia,-3.69
1823,Ulaanbaatar,Mongolia,-4.36
1824,Ulaanbaatar,Mongolia,-3.05
1825,Ulaanbaatar,Mongolia,-3.52
1826,Ulaanbaatar,Mongolia,-3.61
1827,Ulaanbaatar,Mongolia,-2.86
1828,Ulaanbaatar,Mongolia,-3.90
1829,Ulaanbaatar,Mongolia,-3.98
1830,Ulaanbaatar,Mongolia,-3.46
1831,Ulaanbaatar,Mongolia,-5.17
1832,Ulaanbaatar,Mongolia,-4.74
1833,Ulaanbaatar,Mongolia,-4.57
1834,Ulaanbaatar,Mongolia,-3.64
1835,Ulaanbaatar,Mongolia,-4.13
1836,Ulaanbaatar,Mongolia,-3.89
1837,Ulaanbaatar,Mongolia,-4.22
1838,Ulaanbaatar,Mongolia,-3.88
1839,Ulaanbaatar,Mongolia,-4.75
1840,Ulaanbaatar,Mongolia,-4.12
1841,Ulaanbaatar,Mongolia,-5.45
1842,Ulaanbaatar,Mongolia,-3.32
1843,Ulaanbaatar,Mongolia,-3.22
1844,Ulaanbaatar,Mongolia,-3.35
1845,Ulaanbaatar,Mongolia,-3.79
1846,Ulaanbaatar,Mongolia,-3.21
1847,Ulaanbaatar,Mongolia,-3.55
1848,Ulaanbaatar,Mongolia,-3.59
1849,Ulaanbaatar,Mongolia,-3.59
1850,Ulaanbaatar,Mongolia,-4.58
1851,Ulaanbaatar,Mongolia,-5.11
1852,Ulaanbaatar,Mongolia,-4.65
1853,Ulaanbaatar,Mongolia,-4.95
1854,Ulaanbaatar,Mongolia,-3.47
1855,Ulaanbaatar,Mongolia,-3.12
1856,Ulaanbaatar,Mongolia,-3.69
1857,Ulaanbaatar,Mongolia,-4.16
1858,Ulaanbaatar,Mongolia,-3.20
1859,Ulaanbaatar,Mongolia,-3.25
1860,Ulaanbaatar,Mongolia,-5.10
1861,Ulaanbaatar,Mongolia,-4.38
1862,Ulaanbaatar,Mongolia,-4.91
1863,Ulaanbaatar,Mongolia,-2.89
1864,Ulaanbaatar,Mongolia,-4.56
1865,Ulaanbaatar,Mongolia,-3.92
1866,Ulaanbaatar,Mongolia,-3.08
1867,Ulaanbaatar,Mongolia,-2.64
1868,Ulaanbaatar,Mongolia,-3.39
1869,Ulaanbaatar,Mongolia,-3.41
1870,Ulaanbaatar,Mongolia,-5.06
1871,Ulaanbaatar,Mongolia,-3.83
1872,Ulaanbaatar,Mongolia,-4.58
1873,Ulaanbaatar,Mongolia,-2.83
1874,Ulaanbaatar,Mongolia,-2.44
1875,Ulaanbaatar,Mongolia,-2.82
1876,Ulaanbaatar,Mongolia,-3.53
1877,Ulaanbaatar,Mongolia,-3.82
1878,Ulaanbaatar,Mongolia,-3.44
1879,Ulaanbaatar,Mongolia,-3.85
1880,Ulaanbaatar,Mongolia,-3.63
1881,Ulaanbaatar,Mongolia,-4.01
1882,Ulaanbaatar,Mongolia,-3.35
1883,Ulaanbaatar,Mongolia,-3.76
1884,Ulaanbaatar,Mongolia,-3.94
1885,Ulaanbaatar,Mongolia,-3.66
1886,Ulaanbaatar,Mongolia,-3.33
1887,Ulaanbaatar,Mongolia,-3.61
1888,Ulaanbaatar,Mongolia,-4.28
1889,Ulaanbaatar,Mongolia,-4.23
1890,Ulaanbaatar,Mongolia,-3.67
1891,Ulaanbaatar,Mongolia,-3.45
1892,Ulaanbaatar,Mongolia,-4.54
1893,Ulaanbaatar,Mongolia,-3.20
1894,Ulaanbaatar,Mongolia,-2.81
1895,Ulaanbaatar,Mongolia,-4.02
1896,Ulaanbaatar,Mongolia,-3.39
1897,Ulaanbaatar,Mongolia,-4.01
1898,Ulaanbaatar,Mongolia,-3.71
1899,Ulaanbaatar,Mongolia,-3.03
1900,Ulaanbaatar,Mongolia,-3.80
1901,Ulaanbaatar,Mongolia,-3.40
1902,Ulaanbaatar,Mongolia,-3.11
1903,Ulaanbaatar,Mongolia,-3.88
1904,Ulaanbaatar,Mongolia,-3.97
1905,Ulaanbaatar,Mongolia,-3.99
1906,Ulaanbaatar,Mongolia,-3.83
1907,Ulaanbaatar,Mongolia,-3.61
1908,Ulaanbaatar,Mongolia,-3.90
1909,Ulaanbaatar,Mongolia,-4.15
1910,Ulaanbaatar,Mongolia,-4.51
1911,Ulaanbaatar,Mongolia,-3.33
1912,Ulaanbaatar,Mongolia,-4.62
1913,Ulaanbaatar,Mongolia,-3.49
1914,Ulaanbaatar,Mongolia,-2.96
1915,Ulaanbaatar,Mongolia,-4.26
1916,Ulaanbaatar,Mongolia,-4.30
1917,Ulaanbaatar,Mongolia,-3.68
1918,Ulaanbaatar,Mongolia,-3.33
1919,Ulaanbaatar,Mongolia,-3.65
1920,Ulaanbaatar,Mongolia,-3.19
1921,Ulaanbaatar,Mongolia,-3.09
1922,Ulaanbaatar,Mongolia,-3.97
1923,Ulaanbaatar,Mongolia,-4.11
1924,Ulaanbaatar,Mongolia,-3.57
1925,Ulaanbaatar,Mongolia,-2.96
1926,Ulaanbaatar,Mongolia,-2.88
1927,Ulaanbaatar,Mongolia,-3.39
1928,Ulaanbaatar,Mongolia,-3.58
1929,Ulaanbaatar,Mongolia,-3.87
1930,Ulaanbaatar,Mongolia,-3.55
1931,Ulaanbaatar,Mongolia,-4.27
1932,Ulaanbaatar,Mongolia,-2.62
1933,Ulaanbaatar,Mongolia,-4.01
1934,Ulaanbaatar,Mongolia,-3.67
1935,Ulaanbaatar,Mongolia,-3.58
1936,Ulaanbaatar,Mongolia,-4.34
1937,Ulaanbaatar,Mongolia,-3.86
1938,Ulaanbaatar,Mongolia,-2.66
1939,Ulaanbaatar,Mongolia,-2.89
1940,Ulaanbaatar,Mongolia,-3.23
1941,Ulaanbaatar,Mongolia,-3.20
1942,Ulaanbaatar,Mongolia,-2.79
1943,Ulaanbaatar,Mongolia,-2.69
1944,Ulaanbaatar,Mongolia,-3.68
1945,Ulaanbaatar,Mongolia,-3.64
1946,Ulaanbaatar,Mongolia,-2.89
1947,Ulaanbaatar,Mongolia,-4.84
1948,Ulaanbaatar,Mongolia,-2.51
1949,Ulaanbaatar,Mongolia,-3.06
1950,Ulaanbaatar,Mongolia,-2.91
1951,Ulaanbaatar,Mongolia,-3.32
1952,Ulaanbaatar,Mongolia,-4.24
1953,Ulaanbaatar,Mongolia,-3.59
1954,Ulaanbaatar,Mongolia,-4.21
1955,Ulaanbaatar,Mongolia,-3.14
1956,Ulaanbaatar,Mongolia,-4.31
1957,Ulaanbaatar,Mongolia,-4.47
1958,Ulaanbaatar,Mongolia,-2.45
1959,Ulaanbaatar,Mongolia,-2.91
1960,Ulaanbaatar,Mongolia,-3.10
1961,Ulaanbaatar,Mongolia,-2.78
1962,Ulaanbaatar,Mongolia,-2.94
1963,Ulaanbaatar,Mongolia,-1.91
1964,Ulaanbaatar,Mongolia,-3.43
1965,Ulaanbaatar,Mongolia,-2.47
1966,Ulaanbaatar,Mongolia,-3.40
1967,Ulaanbaatar,Mongolia,-3.17
1968,Ulaanbaatar,Mongolia,-3.29
1969,Ulaanbaatar,Mongolia,-4.24
1970,Ulaanbaatar,Mongolia,-3.66
1971,Ulaanbaatar,Mongolia,-3.45
1972,Ulaanbaatar,Mongolia,-2.76
1973,Ulaanbaatar,Mongolia,-2.21
1974,Ulaanbaatar,Mongolia,-3.51
1975,Ulaanbaatar,Mongolia,-2.23
1976,Ulaanbaatar,Mongolia,-3.40
1977,Ulaanbaatar,Mongolia,-3.07
1978,Ulaanbaatar,Mongolia,-2.79
1979,Ulaanbaatar,Mongolia,-2.84
1980,Ulaanbaatar,Mongolia,-3.36
1981,Ulaanbaatar,Mongolia,-2.69
1982,Ulaanbaatar,Mongolia,-2.06
1983,Ulaanbaatar,Mongolia,-2.29
1984,Ulaanbaatar,Mongolia,-3.53
1985,Ulaanbaatar,Mongolia,-3.59
1986,Ulaanbaatar,Mongolia,-2.65
1987,Ulaanbaatar,Mongolia,-3.29
1988,Ulaanbaatar,Mongolia,-2.65
1989,Ulaanbaatar,Mongolia,-1.64
1990,Ulaanbaatar,Mongolia,-2.02
1991,Ulaanbaatar,Mongolia,-2.76
1992,Ulaanbaatar,Mongolia,-1.86
1993,Ulaanbaatar,Mongolia,-2.52
1994,Ulaanbaatar,Mongolia,-1.69
1995,Ulaanbaatar,Mongolia,-1.63
1996,Ulaanbaatar,Mongolia,-2.65
1997,Ulaanbaatar,Mongolia,-1.46
1998,Ulaanbaatar,Mongolia,-1.20
1999,Ulaanbaatar,Mongolia,-1.59
2000,Ulaanbaatar,Mongolia,-2.36
2001,Ulaanbaatar,Mongolia,-1.98
2002,Ulaanbaatar,Mongolia,-1.48
2003,Ulaanbaatar,Mongolia,-2.41
2004,Ulaanbaatar,Mongolia,-1.51
2005,Ulaanbaatar,Mongolia,-2.36
2006,Ulaanbaatar,Mongolia,-1.56
2007,Ulaanbaatar,Mongolia,0.20
2008,Ulaanbaatar,Mongolia,-1.05
2009,Ulaanbaatar,Mongolia,-2.04
2010,Ulaanbaatar,Mongolia,-3.04
2011,Ulaanbaatar,Mongolia,-2.41
2012,Ulaanbaatar,Mongolia,-3.37
2013,Ulaanbaatar,Mongolia,-0.22
